"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000067798",642.247592611594,1.40023241675632,0.360272855041979,3.88658872618412,0.000101662778796439,0.00162071872091797,"NAV3"
"ENSG00000181027",549.77386953844,0.448074683796066,0.115342995482369,3.88471516559977,0.000102449926902412,0.00163155009772559,"FKRP"
"ENSG00000162139",180.640379795409,-0.84771793143613,0.218236674063103,-3.88439722643049,0.000102584073825278,0.00163197037613848,"NEU3"
"ENSG00000162998",90.9686156276623,1.78356039329498,0.459192694965703,3.88412187922151,0.000102700384019866,0.00163210631267668,"FRZB"
"ENSG00000085719",2763.91857697695,0.435959541795344,0.112252133360175,3.8837528405497,0.000102856465899457,0.00163287335015438,"CPNE3"
"ENSG00000155008",609.972719562892,0.707422986429405,0.182218962932705,3.88226875536911,0.000103486410960652,0.00164115360628175,"APOOL"
"ENSG00000038274",1719.98039996153,0.538880657416522,0.138879383982605,3.88020627657752,0.000104367913538893,0.00165340172651311,"MAT2B"
"ENSG00000090861",2946.35035516102,-0.573501219301156,0.147906283794173,-3.87746351669035,0.000105551149378883,0.00166968943848293,"AARS"
"ENSG00000154127",416.606442951557,0.9988580496233,0.257616061358261,3.87731279003684,0.000105616538928138,0.00166968943848293,"UBASH3B"
"ENSG00000138135",38.4951758922253,-1.58319235572311,0.408501797163177,-3.8756068313959,0.000106359302494851,0.00167967845285143,"CH25H"
"ENSG00000197586",992.529876557176,0.415123411187137,0.10712153570211,3.87525634753347,0.000106512510063471,0.00168034579678257,"ENTPD6"
"ENSG00000137124",668.600942409911,0.981928457137636,0.25342760044793,3.87459162065257,0.000106803655374747,0.00168318559901201,"ALDH1B1"
"ENSG00000122376",411.662012045565,0.44007347574204,0.113657816578474,3.87191562349075,0.000107983335563659,0.00170000791799545,"FAM35A"
"ENSG00000099991",1717.18711285841,0.695070329921855,0.179536422661152,3.87147253810273,0.000108179846682493,0.00170019764453819,"CABIN1"
"ENSG00000174738",1125.69859809293,-0.640159328085033,0.165356784372542,-3.87138229927585,0.000108219909497181,0.00170019764453819,"NR1D2"
"ENSG00000014216",3510.33518456401,0.296908735339997,0.076716092321134,3.87022756708118,0.000108733806580217,0.00170650103695066,"CAPN1"
"ENSG00000140092",9481.90364059974,0.337317433889125,0.0871950271384295,3.86853981195058,0.00010948906133519,0.00171657539743422,"FBLN5"
"ENSG00000173418",642.733802165911,0.524645617163224,0.135641958010449,3.86787115770482,0.000109789644495073,0.00171950792748488,"NAA20"
"ENSG00000155827",1306.71177644312,-0.355099701520374,0.0918576621665542,-3.86576027676946,0.000110743674636193,0.00173265800864167,"RNF20"
"ENSG00000132646",893.453482806186,-0.633984591280282,0.164014024513547,-3.86542914949274,0.000110894038117296,0.0017332200281594,"PCNA"
"ENSG00000171155",548.292489085899,0.552767578689672,0.143064974908719,3.86375197033627,0.000111658600827208,0.0017415751900392,"C1GALT1C1"
"ENSG00000183876",213.535627166561,-1.82854759672869,0.473246391724872,-3.86383843321883,0.000111619064399455,0.0017415751900392,"ARSI"
"ENSG00000165644",72.1823161034857,1.00467879459455,0.260052885863603,3.8633633741773,0.000111836455313486,0.00174240033127709,"COMTD1"
"ENSG00000185650",4004.11127451906,-0.683580117540518,0.176949630031919,-3.86313391792461,0.000111941599361678,0.00174240033127709,"ZFP36L1"
